D3DSZ1	O43236
D3DSZ7	Q4LE28
P55316	Q14469
P14314	Q14697
Q8IUA4	P02686
P35869	P10589
A8K4G2	P19235
O75629	P28749
O14618	Q02410
Q3KN84	P23258
B3KXA2	Q5T0I2
D3DST0	Q9ULZ2
Q9Y6V0	Q59FC3
Q4G0R5	Q53YD7
Q14232	A2RUS0
Q05DE9	Q13094
P51948	Q3LRW3
P20827	P02775
P23458	Q96N16
Q9UQ80	Q9NUA2
B3KNH5	P16410
A7E2E1	Q15831
D3DN27	Q3LRW3
Q96A83	Q96A84
Q9UMX1	Q15274
Q9H1K0	P20338
Q9Y235	P41238
D3DVV8	Q549F0
Q6IBA9	O00300
P80108	P05187
Q9UKW4	P08922
Q155Q3	O15169
P08047	Q59FP9
Q13976	Q5U0J5
P05166	Q8WXQ7
Q8IYB3	P35659
Q99459	A4D0P7
O43586	Q92558
B2R8X8	P43403
P08588	B0LPF3
Q13976	Q4W597
P27918	P00751
Q02156	Q8IVA8
P30101	P04921
P07492	Q53TN1
Q9UK22	D3DQ97
P55084	D3DSD3
Q69YG1	P19838
Q5JPI2	A8K8L7
A0N0R2	A0N0R2
Q9NS87	P46013
A8K107	B4DID4
Q6ZRS2	Q15596
Q15369	P40337
Q53YD1	Q96AQ3
P23560	Q99523
O95199	O95199
P42680	P16471
Q86WQ0	Q86WQ0
P07686	P07686
O14920	A8K107
P01024	Q53EL2
P78537	P21246
O60318	P25205
Q9UBT2	P55854
O75376	O75376
D3DQG8	Q96QZ7
P60468	Q6FHL3
Q9Y3C5	D3DRS4
O00559	O00559
Q96EV8	Q9BS59
D0VY79	P40337
B1AHC8	O14678
D3DTC0	B3KPR3
P35659	P35659
P08246	P09919
P21675	P28360
P01589	Q0GK43
O76031	Q16740
P51784	Q12788
P01138	P01138
P54259	Q96R06
D3DW02	D3DNV2
P55210	O60216
Q6FHV6	Q96MC5
Q53XR6	D3DUZ2
D3DTF2	D3DTF2
Q5SR62	O60762
P49840	Q13144
P13010	Q14686
O00257	P56545
P14174	P04233
Q5STG3	Q96GG9
Q05586	P26232
P35221	D3DXB9
Q9UPD8	B4DG66
Q92692	Q99750
Q96EY5	Q9Y5K6
Q13976	Q17S00
Q6IBC8	Q6I9R7
Q5JU96	Q7L590
Q86TJ9	P07550
Q92905	Q3LRW3
P01031	P21730
O00267	Q58WW2
Q8IYF3	Q9BT92
Q9Y3D0	O76071
O00268	P45973
P42226	P42226
Q8TAR1	Q5T230
O14908	Q9UM54
P16860	Q60I31
Q7Z5W6	P01024
P46779	B3KRE0
O43561	Q9NPR5
D3DQC1	Q14145
O60500	D3DUH1
Q8N488	Q14790
Q6XYD1	Q6XYD1
Q92481	Q9H270
O60763	Q9NYM9
Q5RKV6	Q5U0F4
Q12906	B3KU66
Q13404	D3DR16
P42345	Q6R327
Q13671	D3DTH5
Q8IU60	Q8IU60
Q9Y6J0	D3DVC0
Q9NUA2	P50613
B4DG66	Q96QZ7
B3KT21	B3KT21
Q8NET5	P43403
O75083	P23528
Q53ZZ2	Q53ZZ2
A2RU94	Q9Y2J0
Q59FP9	Q6ZW49
P55210	D3DRI9
P61970	A8K3Z8
D3DWS0	Q6NSJ8
B3KU66	Q08945
D3DWG3	D3DWG3
Q9UNI6	Q9P2H0
Q9Y5P4	Q8IUA4
Q14524	Q14524
Q13895	Q12816
O60383	Q6ZVE6
P22570	P10109
Q6IAL4	P08519
Q5ZGX3	Q5ZGX3
Q9UHA3	A4D0W0
P10619	P13473
A8K6I5	P31785
P16284	Q05C41
O43707	Q9NP98
Q6FG96	Q6FG96
A1L467	Q96BD6
P78509	P78509
P56537	Q14181
Q9NZR2	D3DVR9
D3DTC0	P07902
P51686	O15444
O60318	Q9UKK9
Q8WVV9	Q13838
Q13323	Q07817
P78396	P06400
Q07507	P01137
B4DG66	Q5YLC1
D3DW02	P28715
B3KSG3	Q13137
Q13485	Q99805
O15146	Q13702
Q96CW1	D3DTN3
P20265	P20265
D3DV51	D3DV51
P0C1Z6	P55199
D3DQY2	P18074
Q9Y6Q9	Q4VBA3
P07814	Q8IXH7
Q6NSG7	Q6NSG7
P62277	D3DX67
P68871	Q6IAK0
O60244	P04150
P37198	P06454
Q14213	Q6UWB1
Q99459	P33991
Q8N4C8	O15020
Q9H422	Q9UGP4
Q99549	Q96S59
Q15139	P19174
Q8NCQ8	P10415
Q9BRD5	Q9BRD5
Q9H2F5	O75461
O75182	Q13422
O00300	P04004
Q6FH20	Q99523
B3KM48	Q3LRW3
A8KAF9	Q8WU10
Q06AH7	P18065
Q99623	D3DRS0
Q9Y263	Q9UBN7
O00499	P49418
D3DRG2	Q6FI81
P36957	Q6IBL8
Q8NCQ8	Q8IW76
Q9UBW7	Q13485
Q9NR55	Q6ICQ9
P17676	P49716
Q13009	Q13009
Q6IB64	Q8NCB2
P78396	P28749
Q9Y6B2	P14373
Q3LRW3	P04792
D3DU69	B1AK66
P10809	P10809
P25205	Q13416
A8K8F5	Q9NUQ8
Q99750	Q969U6
Q53Y03	Q15006
Q5STB2	Q5STV3
Q9H7B4	P53803
O43521	Q92843
Q96HA8	Q9BPX1
P53567	P55198
Q6MZZ3	O75935
O95218	Q71RF1
Q6AZW6	O43462
Q9UG98	Q5U0J5
Q16478	Q5HYH4
P49715	Q4LE28
D3DSF0	Q15467
Q9Y5K6	Q07889
D3DR16	Q9NQC7
Q92738	B0LPF3
Q15910	Q9Y237
P16284	P19174
Q86U22	O00499
O95968	O75556
Q13564	A6NLB5
Q8TEY7	Q6P525
Q9UK17	B3KSZ5
Q8WV24	O15371
Q53XS4	Q5TLG3
Q9UHY1	Q9Y3Q8
B2R4R0	O60907
Q9Y239	D3DXD6
P54727	Q96IV0
P19099	P10109
C9JL99	Q4G0R5
Q9HD36	Q07817
D3DTN3	Q96EZ8
Q68Y55	Q68Y55
P61769	P61769
P62750	B3KNG9
Q05516	Q6FIE9
Q5JPT6	Q5JPT6
Q6NVY8	B3KNI7
P50991	P24864
Q6ZN01	Q6ZN01
O00459	Q6IQ28
Q59GV6	Q2TNI1
Q99759	D3DTH5
Q9NYL2	D3DTS5
Q9C000	P10415
Q9UBM4	Q9UBM4
P33402	D3DXB9
B0AZM9	Q9NR12
A8K6M0	Q15276
B3KWD0	Q9H4D5
Q99547	A7E2E1
Q96KG7	Q9P2E3
Q9H254	Q9NRI5
Q05C96	D3DNI4
Q7L590	Q14566
Q8IUF8	Q8IUF8
Q9UNH5	Q3LRW3
B3KSM5	P04628
A8K3H7	Q9UBS5
Q68CQ5	Q9Y3A3
D3DND9	Q8N6Y0
P16284	P16284
Q9H0D6	Q96B26
Q9P2K6	Q8N6Y0
P05783	P55210
P40259	P43403
Q8IW41	P13807
P17676	P17947
D3DS49	B3KRE0
Q04759	Q9UEW8
D3DWA3	O00268
P50453	Q5T3J3
D3DXB9	Q14168
Q05DG0	P19838
D3DX94	Q13216
O43521	Q07817
P27797	O15533
O95169	D3DNI4
D3DX47	Q9NYY3
O95858	Q5W141
P00734	Q59GZ8
O75344	O75909
Q15648	P35398
Q6NTA2	Q6NTA2
P43403	D3DX45
P06454	D3DW02
B3KT07	Q6IBR8
B1AHC8	P25942
Q96ST3	Q53QU8
Q9Y5Y6	O43278
Q99856	Q59FP9
Q53YE7	Q53YE7
D3DX45	P04085
Q8NEF3	Q8N6V9
Q5VTX7	A4D0W0
P35711	P35712
P12273	D3DUS5
B0LPF3	Q7L0Q8
P40937	D3DNV2
Q6XZF7	Q9Y2A7
D3DQY2	Q9H7U1
O96019	Q9Y4A5
Q9UKY1	D3DQ24
Q15406	O75376
Q6ZN01	Q6N065
Q5JQI0	P10619
D3DST0	B3KWG5
O95551	D3DU69
P42680	Q6IQ28
Q0GK43	P14784
P52434	P53803
P15509	P04141
Q9UP52	Q06AH7
Q9NUA2	P60484
Q99417	Q9P2K9
P60228	Q9GZR7
P02775	P02775
Q96KJ9	Q96KJ9
Q16512	D3DQB8
A8K9A6	Q16236
P05386	O95563
O75052	A0PJJ7
Q9P2M1	Q9Y3Q8
Q7L311	Q7L311
Q13113	Q5T2W1
A2RUM7	D3DVV8
O96017	O96017
D3DVK1	Q99704
Q6IQ28	A8K9S7
O95985	Q07021
D3DST0	B0LPF3
O94910	P08922
O00401	Q2YDC4
P10827	Q5U0J5
Q4LE28	P98177
Q6FG38	P98160
P61758	P40337
Q9Y2N7	P40337
Q96CG3	A8K107
P17676	P49715
Q9NWA0	Q96HR3
P49639	O75865
P06400	Q8TAR1
P17947	P49715
Q9Y2I1	O14654
D3DQY2	D3DSV2
O14908	A8K5N0
A8K0V9	Q13114
P27540	P27540
P20807	P20807
O95218	P25490
D3DVE7	P33897
C9JL99	P14635
Q9NS68	Q658U1
D3DX28	P08138
P17676	P19838
O43255	P08247
P41273	Q658U1
P11362	P11362
Q8IUH5	P42858
P81534	P81534
P51693	Q13190
Q6FHV6	O95149
Q9Y6Q9	O75469
A0JLT2	Q9NWA0
Q4ZG17	B0YIY4
Q9NXB0	Q9GZR7
D3DTY3	O43541
Q8IXJ6	Q9UBN7
O60383	O00231
A6NN38	Q15596
A8K8F5	Q00403
P43364	Q6IB64
P40763	Q99062
P14210	P05981
P42680	P42680
Q969S3	D3DRP8
Q53GS7	O15504
P35251	D3DXG3
P37198	D3DSV2
B6ZGU0	O43186
Q6NZY4	Q05C41
Q68CQ5	Q8TAP6
Q969G3	Q5T5H7
Q9BRL8	Q8IXH7
P21246	Q14508
Q13618	Q86VP6
D3DWS6	O94906
P01031	P01024
Q9UNF0	O00401
D3DVV8	Q53YK7
Q9NR28	D3DTF2
Q9NUA2	A4D1G0
P07550	P49407
Q15467	P52630
P16871	A8K6I5
D3DVV8	Q5TEJ4
Q8NEF9	P11831
O60285	Q6P468
Q99973	O14746
Q9HA84	Q07021
D3DRP8	Q5TEJ4
Q6FHM8	D3DST2
O95407	Q53ZZ1
Q14028	P23942
P51398	Q9NUA2
Q6FHC9	Q9HA31
Q9Y613	Q9Y613
Q15345	Q15369
O43318	O43318
P02647	P06576
Q3LRW3	Q9BQD7
A8K4G2	P23458
Q96S37	Q5T2W1
D1CS53	P08571
P23025	B2RC01
B3KNN6	Q16531
Q05586	P08047
O15234	B3KRE0
Q16512	Q16512
Q9BQ95	Q13485
Q6PFW2	Q6PFW2
Q5M9N0	Q96ES7
Q5T6L4	Q5T6L4
P55316	Q53XR6
O15116	O43776
Q9BQY4	Q92530
Q5T6X2	Q4LE28
P05386	B3KS27
Q9Y2S7	D3DW02
Q9BUG9	P04004
P18545	B0LPF3
Q9UHD2	D3DPB5
D3DST0	B3KNZ9
P08700	P08700
Q8NHQ8	D3DSB9
Q9Y5U5	A8K107
D3DV04	Q9UMX3
P29122	P29122
D3DTN3	Q9H0I2
Q6PJ06	P17931
Q6P4R1	P17927
Q5TAL4	P08621
Q05586	Q05586
Q13315	P23025
Q15788	P10589
A8K107	Q7Z3B3
Q3KN84	Q92845
Q6ZQV4	Q8TB90
O15116	Q9UBK9
Q96NA2	P51149
P55899	P02768
D3DV37	Q86TW5
Q8WVD2	Q9Y3A3
Q8N6H6	D3DRY4
Q7L590	Q9UBD5
O76080	O76080
P61073	P08575
Q9H0H5	P23258
D3DR07	D1CS21
B3KWG5	Q9H4P4
Q8NEP7	P78396
Q60I31	P01160
A8K171	P37231
Q96E17	D3DTG7
Q92535	Q9UKY1
Q13596	Q59F04
O00499	P01106
Q9UJX4	Q547Q3
O75461	Q15910
P17480	P35568
P26358	P14373
O75419	P25205
P10912	B0LPF3
Q13416	P27694
D3DVV8	P11836
Q13526	D3DVV8
Q15427	Q9Y4C2
O43561	Q13094
P60033	Q6IQ28
O43707	P05121
Q01844	A0JLP0
Q7LBR1	Q02833
P78508	D3DXB9
Q9BWC9	Q5T3J3
P08195	D3DRY4
P55899	P61769
Q8IZJ4	Q6ZS74
Q53X86	P13385
B4DIM4	A8K107
P31270	Q4LE28
Q12796	Q9NUA2
Q9UNF0	Q9UNF0
Q96KG7	Q15020
D3DN84	D3DN84
Q02241	Q9H0H5
Q13901	Q13901
Q6GMQ3	O75496
P22735	Q02383
Q59EH3	Q5T0N5
Q00688	B0UXA9
Q99726	Q92572
P07766	A8K4G2
D3DU65	B3KY81
Q5JVE7	O14880
Q9BV20	Q9BV20
Q53ZZ1	P25445
Q15406	Q15406
D0VY79	P51398
P48357	O60674
P49790	B3KWD0
Q8IV36	Q9BUH8
P59998	O15145
P35606	P53621
P55884	Q5U0F4
Q53TN1	O14625
P62487	Q01844
O75530	Q15910
Q9HB96	Q00597
A8K0V9	Q658U1
P28222	Q5ZGX3
P51841	P51841
P15529	P01024
Q9P296	P21730
B0LPF3	D3DQL6
D3DVV8	D0VY79
D3DUR1	Q53XS4
Q96KC8	B7ZKJ8
Q6FI00	Q5T5H7
P51946	D3DSV2
O75381	Q59GV3
P83876	O60828
Q53XR6	P01106
Q6PCB0	Q6PCB0
Q53TN1	P16619
Q96KG7	Q24JP5
C9JL99	Q5U0J5
P05783	O14964
Q5VUF1	A8K107
P07766	D3DVK1
A2TDB8	P23409
Q99748	Q9BTB0
P04792	Q9UJY1
Q6PKC3	Q6P534
D3DNI4	Q8NHS7
P16284	D3DUH1
Q01469	P31151
P08246	P08246
Q05DA9	Q9Y2I6
D3DWM4	Q13485
Q4G0R5	B3KT07
D3DQX0	Q02156
Q13094	Q9UKW4
Q14582	Q9UH92
P02766	P02766
Q9NPD3	D3DT29
Q99856	Q9BSD8
Q13098	D3DWG3
Q05516	Q9UJX4
Q2TB39	Q4LE28
D3DTH6	Q96FF1
P01106	P17676
O75153	Q9NYQ7
Q05CV3	P07357
A8K9G7	Q15654
Q9C000	Q9C000
O75558	A8K287
Q547Q3	O43541
P35568	D3DQL6
Q9NZN5	O43157
D3DR16	A6NP15
P40259	P15391
Q96FF1	A1L3Z9
O00459	Q4JHT5
Q9UHP6	Q13485
P01106	P25208
Q9Y6K8	Q7Z4K8
P13010	Q8WTY5
A8K6I5	P23458
Q13427	P24928
Q9Y3C7	Q9H6R7
Q5T1R4	A8K107
P27701	P04626
Q7Z474	P28066
Q9UKG1	P42336
Q15650	P52655
P05129	B3KS52
D3DVV8	Q6MZW8
P11912	P15391
O00548	P48745
A8K8P3	P41208
O00116	O15228
P40259	Q8IYN9
Q4LE28	Q86WP2
P78347	P11831
D3DPB5	Q13114
Q9Y3I1	Q13490
P01222	Q8TB90
O75382	P61086
Q99689	Q99689
Q53YD7	Q5HYE4
P56537	Q59FC3
Q05516	Q9NPJ4
P15260	P15260
Q96PD4	Q96PD4
Q99704	D3DRY4
Q99972	P60033
Q9UMX1	Q59FV5
D3DPB5	O14920
P51948	Q5T5H7
P25786	Q9Y620
Q53XC2	Q53XC0
Q9Y383	B3KNI7
Q15853	Q6FG41
Q8N357	Q9NRX3
Q9NZR2	P05121
D3DP38	P25490
B4DZ45	Q5T2W1
P53350	P33993
Q04864	Q04864
Q8IZH2	Q8TB22
D3DN92	D3DNI4
Q14686	B1AHC8
Q86U55	A7E2E1
P40189	A0N0L5
D3DUC0	O43586
Q96KG7	O75643
D3DX43	Q547Q3
D3DWN2	Q9BVJ7
Q05CA6	P52943
P12544	Q5TZP7
O95870	Q96KC8
O95751	Q9NY61
Q4JHT5	P36888
Q9UQB8	Q9NZQ3
P06213	Q99704
Q8N6H6	Q8N6H6
Q8WVD3	Q8N771
Q6FHV6	O43768
P27540	Q5T5H7
Q05DJ6	Q05DJ6
O75553	Q06481
Q9UHA4	P36507
P24928	O15514
Q14596	Q9NP79
Q9UMX1	Q9UHA4
P98082	Q13526
P49715	P26232
O00590	Q6IBD6
O15061	Q9BS59
Q6IB24	D3DRW1
Q6NUQ4	O15116
O43526	Q6IBL8
Q9NWF9	D3DTB8
P63146	Q9Y3C7
Q6I9V2	Q8NG27
Q6FI39	O60674
Q9BUQ0	Q9BUQ0
P08246	P08697
Q6MZZ4	P25208
P36894	Q4VBA3
Q9H0D6	P21964
D3DW31	P06400
Q15223	Q15223
Q6EEV4	Q96FK6
P19971	P19971
Q8TAR1	P49715
Q7L5N1	Q8IYB7
D3DSB9	Q9Y3Q8
O60383	A2RU94
D3DUS5	P10747
O75821	Q14152
Q13485	Q8IXH7
O94906	Q5T5H7
P43088	Q9H7Z7
Q9Y240	P21583
Q86TW5	Q6FGG1
Q6PIS6	Q6MZM7
P55210	P11831
Q6XZF7	O00401
Q14999	B7Z3E6
A8K031	P35998
P54727	Q1W6H1
O75444	Q6FG41
Q5GJ64	O94941
Q15276	P17677
Q15813	Q9BTW9
Q53RZ9	P23025
Q15596	P26232
A0JLU0	O00567
P80404	P80404
Q13352	P19838
Q96FZ7	P60002
Q14286	P04070
Q8NCQ8	Q07817
D3DX47	D3DWR9
P61218	P19388
D3DQY2	D3DQY2
Q86U55	A3KME0
Q5U623	Q9UIS9
Q99972	P04075
P14635	Q6IN79
Q96RN1	Q9H0H5
Q96B26	Q13868
Q8N2H9	O43318
Q8NHS7	P18433
D3DPJ1	P17987
Q53YD7	Q9NPF8
D1CS56	Q9UPT6
O43463	Q9UIS9
Q7LBR1	A6NG32
B1AQP2	P61758
D3DXG3	D3DNV2
Q15291	P06400
Q01844	Q96QG7
D3DU69	Q9NR12
Q00987	D3DQL6
P49716	P49715
Q53XR6	D3DPP3
B5ME70	P04150
P23588	Q14152
Q6ICU9	D3DWY5
D3DX28	P20916
P50453	Q9Y3C7
B3KXQ8	Q59GV6
P54259	Q9Y3V7
O95159	Q6IBB3
Q6IBL8	Q9HC35
Q53QS9	Q93034
P12319	P30273
P08571	D3DT84
Q8NBH6	Q99075
D3DU69	Q96JY2
A4D1U3	Q86U70
O75822	O75822
P52926	D3DVV8
D3DP49	D3DP49
Q9UJY5	D3DU00
P06400	Q6IN79
A8K3D1	P10912
Q5TBB8	Q6ZVM7
Q8IW41	P02686
D3DTN3	Q93062
Q8TD08	P04150
D3DRS0	Q504X9
P31269	Q96AL5
B0YIW9	Q13485
D3DQ76	Q53X53
Q96AQ3	D3DTU3
D3DTH5	P21580
Q92624	Q96ES6
D3DST0	P43403
P13010	P24928
Q9Y2I6	O60293
B3KQW8	B3KQW8
Q92973	A8K3Z8
P10244	Q9UNY4
D3DTT3	Q3LRW3
A8K9S7	B0LPF3
P39880	A5YM55
Q9GZP0	Q59F04
D3DTM6	D3DTF2
P49137	P49137
P49790	A8K3Z8
Q5STP9	A8K171
P15172	P40763
P42684	D3DTH6
P50281	Q8IZZ5
P06213	O14544
P61970	P06454
Q3LRW3	P42858
P04150	Q5U0J5
P05129	Q9UQ80
O00231	Q9Y3C7
Q2L6J1	P36406
Q9H147	Q9H147
Q2TNI1	Q53XS4
P43364	O14832
Q9UNQ2	A8K9G7
Q93062	O43251
Q13098	Q92905
Q96FF1	Q8NEM7
D3DR83	D3DRX1
A7KAX9	B4DIW5
P26368	P78362
P28715	P24928
A8K107	Q02223
D3DNW0	D3DVJ5
A8K031	Q9P1Z2
P20719	Q15672
P60484	Q7L5N1
Q13188	Q13188
Q9Y620	D3DQB7
Q6FI05	Q9NPI5
A4D125	D3DPJ1
A8K6I5	P17676
O15371	O75822
Q5T6L4	Q9H1I8
Q99608	Q3LRW3
Q13526	P10415
O00300	Q6MZM7
P23458	P35568
Q549F0	Q14790
Q13098	Q9UNS2
Q9NQC7	B3KQY7
Q6IBR8	Q9P2H0
Q86W92	Q86W92
D3DRQ5	P19174
Q8WV02	Q8WXI2
Q9GZY0	Q5TZP7
Q969D9	P40763
P17947	Q08945
D3DST0	P20936
O60869	P21675
Q53YD7	D3DNH3
Q96SB4	Q8IYB3
A8K9B1	Q9BZZ2
D3DX59	Q9UGJ1
Q5R371	P80511
Q9H1D9	Q96FK6
Q86XP1	Q86XP1
P25788	Q546S1
A8K6K3	D3DTF2
Q13011	Q15102
Q9BQQ3	P53350
Q6QNY1	P78537
Q8NHW3	P52945
P06400	P26358
Q9H6Z4	Q6NT97
P43364	Q9H204
Q9UHY1	Q5T3J3
Q8WWV3	Q8IUA4
A8K107	Q13137
Q08050	P40763
O43318	Q99759
Q9NUA2	Q15583
D3DWB3	Q9UBN7
D3DQI2	Q762B6
Q8NHL6	Q95HC0
P78549	P28715
Q96CW1	B9A6K1
Q16478	B3KNK9
Q9Y6Q9	Q13526
P49711	P24928
Q13490	Q9Y385
Q4LE28	Q8IYS3
P56545	Q9H8T0
Q5YLC1	A0N0L5
O75822	O75528
P09382	D3DRY4
P24928	B3KU66
B4E3T6	O14645
Q5T0T0	P42081
O14924	Q01970
D2IYK3	D3DSH6
Q8IVK2	O14958
Q5GJ64	D3DSB9
Q9Y3C5	Q9H1I8
B3KPN7	Q9UGK8
D3DTH6	Q8WU20
P00734	Q53XJ8
Q15744	Q14025
A8K171	Q8NHQ1
D3DWN2	D3DQQ8
P04626	B0LPF3
P40337	P62487
P35590	P35590
Q86TW5	Q9BUJ2
O60925	Q9Y3C7
B3KMS9	Q53XJ5
Q8N3K9	Q8N3K9
Q01844	Q15011
A5YM55	Q53YD7
Q9H446	Q9Y295
Q4W597	Q9NR12
O60383	P36894
Q2TNI1	Q5T5H7
Q96G78	Q9UK80
P49768	Q99466
P54259	Q86TM6
P19838	P40763
D3DTT3	A8K3Z8
B4E127	Q5T5H7
D3DWF0	D3DUV5
Q05655	Q16236
P42226	Q4LE28
P02647	Q3KQU3
D3DRK2	O75496
Q5JY77	O43193
P54259	Q96QZ7
Q6FHQ0	O43463
Q6I9V2	Q5JPB8
Q7RTS1	Q2TB39
B4E1E6	Q9HA84
P04792	Q53X53
O75326	O60486
Q9Y3A3	Q9Y3C7
D3DVL0	P36957
Q9HBA0	D3DUH1
O00268	P42858
B5BUH3	Q8TAR1
Q6MZM7	Q13485
Q53YE2	Q53YE2
Q59GZ8	P05120
B3KMZ5	D3DN31
P20936	Q6IQ28
B7Z2Q9	Q59FJ3
Q9BUN8	Q9BQE4
Q05516	O43504
Q969N2	Q92643
O14727	P99999
Q96CS4	B3KM80
Q07889	B4E3T6
P57087	Q6MZU1
Q96JN8	Q9UJU6
Q8TB90	P22888
A4D0W0	P62314
P01042	P01042
D3DR83	B7Z8Y4
Q07912	B0LPF3
Q05655	P35612
D3DQ34	P49736
P06400	P39880
Q15910	Q6IAT9
Q9UBD5	P33993
B3KNJ5	Q99967
Q96FF1	Q9UKY1
Q9NUA2	Q9NUA2
Q8TAR1	D3DVV8
D3DQY2	P19174
P40189	P26441
Q13393	Q16512
Q6IAW1	Q6PCC3
Q9UBX1	P04233
Q53XR6	D3DUG1
D3DWF0	P11717
P20936	Q96BD6
Q5T208	D3DSD3
Q9NWA0	B4DUA7
B4DZ45	O95149
Q9UJY5	Q9UJY5
A8K107	D3DUR1
Q6MZM7	Q59F16
Q9Y239	Q14790
Q9H204	Q96HR3
B4DIW5	B0LPF3
D3DST0	A8K4G2
Q96QR1	Q4ZG40
P30086	P30086
Q4LE28	Q6FHW6
Q8N0X7	D3DPJ2
Q9H0Y0	O95352
B3KM34	Q16595
P18124	P18124
P62316	Q16637
Q9HD26	P51790
P09603	P09603
O75822	O14775
O95049	Q8NI35
Q59H02	D3DV56
O95870	Q8TCT9
P40189	P23458
O00401	Q14247
D3DW98	P30050
Q13098	Q13309
Q7Z4T9	Q99417
P41227	P18440
Q5RKV6	O95396
Q6UX06	P01024
Q99972	O15230
Q8IUX7	Q2TB39
P53708	P04004
Q86TG7	O43255
Q6FGC6	Q15257
Q13573	P11473
D3DRA9	Q8TAX8
P55316	O43524
Q9Y4Z0	Q16637
P49842	Q07864
Q4W5M7	Q5T5H7
Q13315	Q12888
Q8TB76	P08047
P18433	B0LPF3
Q13889	P19447
O95059	Q969H6
P04626	P16144
A8K107	P08138
Q5QNR8	Q5QNR8
P18850	Q6AZW6
P54259	Q15654
Q5RKV6	Q9NQT4
D3DWA3	P21675
B0UXA9	P38432
P21246	Q13200
Q9NY61	Q99816
Q92973	P52948
D3DTG1	Q59FP9
P61086	P19838
Q8TAT1	P15172
Q6FG96	P05386
O43660	Q99459
O75943	Q99638
Q9NP79	Q7Z6G3
Q969L2	Q5JWU6
P04629	P20936
D3DR16	O76080
Q59FP9	Q59FP9
B0UXA9	B0UXA9
Q8IZH2	P26651
Q14687	Q93062
P49767	P49767
Q6ICU9	Q5W009
Q13485	Q96G75
P16410	A0N0P2
P51398	P04150
Q9H6I2	P26232
D3DQ97	Q9NWN3
Q15788	P27540
Q96T58	Q6I9R7
Q9NPF7	Q9NPF7
B3KM48	Q8N6Y0
Q07065	P00750
Q05655	Q5T6X2
Q59FC3	O75334
Q9Y5S9	D3DWI4
B3KWG5	P04626
Q92572	P35568
O75586	Q53XR6
Q9H6Q3	P20963
Q9UBC2	P52594
B2R526	B2R526
Q59H37	P08865
Q9H2G9	Q9H8Y8
P55055	Q99750
Q99608	Q02818
Q15654	P18583
Q14790	Q13546
Q02818	Q08116
D3DPK7	D0PNI2
Q8IUA4	P10415
Q96KN3	P14653
Q16667	P30304
Q59FC3	O43294
D3DX74	Q13114
B1AQP2	O60925
P17947	D3DNB3
Q14582	Q96ST3
Q9UL15	Q9UL15
D3DVV8	Q9Y5B0
P61966	P61966
P41227	D0VY79
Q5GJ64	O75152
Q3LRW3	Q53XR6
D3DRF0	D3DRF0
Q9BRL8	P51948
D3DUI0	Q6ZS74
Q53X90	Q6IBD6
P06400	P15172
O14964	D3DRU5
A8K3M3	P11274
C9JL99	P19838
Q6IBN1	Q6FI14
D3DSY5	Q8TBK6
B3KM80	P12544
Q93062	Q8N4T4
Q9NZN4	Q9NZN4
Q9Y613	Q9UIQ6
Q6FI62	B3KNK9
P62308	Q86TW5
Q53XR6	O95071
P36507	P55211
Q15327	O14958
P48745	Q6MZM7
Q502V0	P47992
Q9Y3C5	P08575
D3DPB5	A8K107
P54259	Q8N2S1
Q8N2G3	P35556
O00268	P21675
Q6ICU9	Q5RL73
D3DVV8	D3DNF7
B3KWG5	Q6PK61
Q99547	O95453
Q86VF7	B3KXA2
P11308	D3DSH6
Q6PCC3	Q6PCC3
Q53EL6	A2RUM7
O60869	Q8TAR1
O75569	Q7L5N1
Q4LE28	Q6FGM0
B2CIS9	D3DXD6
O75145	Q8NHS7
P40337	P17980
Q7L576	Q7L576
Q13416	O75419
Q9BX67	Q8TES5
Q6PKC3	Q9NRD9
Q9C000	P55211
Q9UHD2	Q16543
Q9P2M7	Q6MZU1
Q6NTA2	Q5TZP7
B3KNF6	B3KNF6
A2BF75	P56537
Q15036	Q14114
P02675	P14543
Q53YK7	P10809
Q99623	P15172
B9A6J5	P17302
O95751	Q9NVN8
O15020	Q9NYQ7
B2R850	Q5R2W2
D3DRQ5	P43403
P20916	P02686
Q13315	Q15831
D3DR83	Q15653
Q9UM11	P14635
D3DPJ1	O60566
A8K4G2	P15391
D3DU69	P27540
Q9UM02	P20366
Q6GPH7	Q6GPH7
Q9Y2J4	Q9Y2J4
O43570	P47929
Q9NPQ8	P63092
P61769	O95084
Q04721	Q9NPV6
Q5JY77	Q53YY0
Q05516	Q96ST3
P43364	Q05516
Q02446	Q9BSD8
Q5TCZ8	Q5TCZ8
Q96EZ8	Q9UER7
P17676	P17676
Q16643	Q6KC79
Q9Y383	Q9Y383
Q8IYN9	P19174
Q9BRL8	Q5T5H7
Q9Y3C5	Q9UJY5
O00418	P13639
Q13094	P19174
P33993	P25963
Q7L5N1	Q92905
Q53XR6	O14964
Q7L590	P49736
Q96QK8	Q9Y4Z0
D3DVV8	D3DUQ1
P33991	Q14566
O14544	Q9P084
Q9P021	Q8NI35
Q14966	Q96EK5
Q96FF1	Q8WWM7
Q6PIZ9	P07766
Q5JY77	P08588
P27816	P14635
A8K031	P06400
A8K4G2	Q14247
Q53XM5	Q8N6Y0
Q01844	Q96MA1
A8C4L5	Q9UBU8
P01222	Q6I9S8
A6H8Y1	P06400
