P52094	P09551
P0A7L3	P68919
P0ABS5	P0ACB0
P0A7Q1	P60624
P0A7L3	P60723
P0A7N4	P68919
P0AFX9	P0AGB6
P0AG55	P0A7K2
P0A7R5	P0A7S3
P0ABA6	P0ABA0
P60723	P0A7N9
P00579	P0A8V2
P16433	P07658
P0AEY3	P0AE72
P61175	P60723
P02929	P15029
P0ADY3	P0A7M2
P0AFF0	P33607
P0A7V0	P0A7V3
P03960	P03959
P0A9P0	P33195
P07822	P02929
P30844	P30843
P33607	P33602
P0A7U7	P0A7V0
P0A7M6	P0A7K2
P0AG55	P0A7M2
P0A7N9	P0A7P5
P16430	P16429
P00579	P0A800
P0A855	P02943
P0A9A6	P18196
P0AA10	P0A6M8
P10905	P0AG80
P0A805	P0A7R1
P0A7K6	P0ADY3
P60624	P60723
P0A843	P69425
P0AAG0	P23847
P0AG63	P0A7R5
P04993	P08394
P0A707	P02359
P0AA10	P60624
P0AA10	P02413
P0A7L8	P60438
P76630	P43667
P0AE67	P06974
P24169	P0A7P5
P0A7U7	P0ADZ4
P0AG44	P60422
P0A7Q6	P0ADY3
P0AFE0	P0AFC7
P23485	P23484
P0ACF4	P0ACF0
P0ADY7	P0A7M9
P0AFE4	P0AFE0
P08839	P56579
P0AA10	P0A7L0
P0ABA4	P68699
P0A805	P0A7J7
P18196	P09557
P0AFK4	P69874
P68919	P0A7R1
P23843	P76027
P0AB67	P07001
P0AGB3	P0AFX4
P31697	P30130
P13036	P23485
P0A991	P0AB71
P0A8F8	P03018
P0ACB0	P0AEF0
P15030	P15028
P0ABM1	P33931
P06616	P0AEY3
P09029	P0AG18
P77489	Q46800
Q47155	P0A988
P0AG51	P61175
P03961	P36937
P0ABJ6	P0ABJ1
P69490	P0ABM1
P0A7N4	P0A7L0
P21866	P21865
P0A7Q6	P60723
P33225	P36662
P0A7T3	P0A7V8
P32720	P39265
P60438	P0A7M9
P0AG48	P0A7L0
P0A7V0	P0AG63
P0A9I3	P0A9F6
P0AEQ6	P0AEQ3
P0ADY7	P0A7J7
P0C018	P0A7K2
P0AFE8	P0AFD1
P0A7X3	P02359
P0A7S9	P0A7W7
P0ABR5	Q47140
P0A7L3	P0A7K6
P0A7R9	P02358
P21513	P0A6F5
P0AG63	P0A7U3
P68919	P0ADY3
P0A7N4	P0A7K2
P68679	P0A7W7
P0A7L3	P60624
P06972	P02929
P0AEX7	P04816
P0AG44	P60438
P0A6Y8	P18775
P00452	P69924
P76077	P76078
P0A9P6	P42641
Q47537	Q47538
P00722	P06864
P0A7L8	P0ADY7
Q46799	Q46800
P52600	P02930
P0ADZ0	P0A7R1
P13445	P0AFX4
P0A7J7	P0A7K2
P0ADZ4	P02358
P0AG44	P62399
P0A7M6	P0A7M2
P10907	P10906
P69805	P0AA04
P16525	P0ACB0
P0C018	P62399
P0A6A8	P0AG24
P0A7V8	P0A7S9
P0A6M8	P0A7J7
P77858	P77423
P0A7B5	P07004
P60624	P0ADY3
P0A7S9	P0AG59
P33012	P0AES6
P69346	P69348
P28630	P28632
P0AAI1	P75853
P0A9Z1	P0AFB5
P33195	P0A6T9
P02916	P0AEX9
P0AEL0	P32176
P0A7M6	P0A7M9
P0A6E6	P0ABB4
P60438	P0A7K2
P77489	P77324
P23893	P0A6X1
P54745	P08839
P18776	P18777
P0AFE4	P33602
P76080	P76081
P22731	P0AD96
P06710	P28631
P0AFH2	P76027
P0AE34	P0AAF6
P0A805	P0AG55
P0ABF1	Q46925
P0A7X3	P0A7S3
P0A7V8	P0A7R9
P07821	P06972
P0A6E6	P0ABA6
P0A7R5	P0A7T7
P0A7R9	P0A7R5
P0ADY3	P0A7J7
P75797	P75798
P0AFX9	P0AFX7
P61175	P0A7M2
P68919	P61175
P21513	P0A6P9
P0ACF8	P64467
P0ADY3	P61175
P09323	P08839
P00579	P0A8T7
P0A7L3	P0AG55
P52599	P02930
P0ABA6	P68699
P0A7Q1	P61175
P23481	P77329
P0AD96	P0AEG4
P0A7Q1	P02413
P76079	P76081
P0A8Q0	P0AC47
P0AA10	P0A7M2
P77416	P77423
P33590	P0AFA9
P05825	P23876
P25798	P0ABZ1
Q46799	Q46801
P0ABV6	P19934
P68919	P62399
P60624	P0A6M8
P02916	P68187
P0A7V8	P0A7T7
P33602	P33599
P0A7Q6	P0AG55
P0AAH0	P0AGH8
P0A7Q1	P0C018
P0AEB0	P0AG78
P0AAF3	P0AE26
P0A7M6	P0ADZ0
P0A7K6	P62399
P0AA10	P0A7M9
P0A805	P60624
P0A7W7	P0A7R5
P0A7M6	P60723
P75726	P0A9I1
P0A805	P0A7K6
P0A7L8	P0A7N9
P0A8M3	P0A6F5
P0ABJ3	P0ABJ1
P62399	P0A7J7
P77214	P38054
P0AEM6	P0A7Z4
P68919	P0AGD7
P0ABV2	P06129
P0AFE0	P0AFD1
P0A7U7	P0A7R5
P33607	P33599
P0AFE0	P31979
P68919	P0A7J7
P0A7N4	P0ADY3
P0ADY7	P0A6M8
P68919	P0A7M6
P06609	P06129
P0A7L3	P0A7N9
P02932	P0A855
P0ABB4	P68699
P68699	P0AB98
P0AG63	P0A7S3
P0A7T3	P0AG63
P60624	P0A7M9
P77737	P77348
P0A7L8	P0AG48
P33591	P0AFA9
P16682	P16677
P0A7T3	P02358
P0A817	P0A6F5
P68919	P60723
P0A7N4	P0A7J7
P0A7T3	P0A7S9
P0A7M2	P0A7R1
P60624	P60438
P0AEL6	P02929
P0ABB0	P0ABA4
P06993	P68187
P0A903	P77774
P0A9A6	P22523
P0A7Q6	P0ADZ0
P0AFK6	P69874
P0ABA6	P0ABB0
P0AES4	P0AES6
P76078	P76079
P68919	P0AG44
P08839	P56580
P77858	P0AEW1
P0A8T7	P23484
P76194	P77444
P0A7W7	P02358
P30130	P08189
P0A9Z1	P30870
P0AFD1	P33599
P11989	P0A8T7
P77467	P21177
P0AER5	P0AER3
P76082	P77467
P23909	P06722
P0AEZ3	P18196
P69791	P69795
P0AGD7	P0AG48
P31549	P31550
P0AFE8	P33599
P0AE06	P24177
P0AGD7	P0A7J7
P30847	P69228
P0AGD7	P0ADZ0
P23482	P77416
P46889	P20083
P0AG51	P0C018
P37028	P06129
P0A7V0	P68679
P0ABV2	P0ABU7
P02930	P37637
P23877	P0AEL6
P0AFD6	P0AFD1
P60422	P60723
P0A8F8	P0A8G0
P23843	P0AFH6
P28905	P28632
P31134	P0AFL1
P0AFD1	P0AFC7
P60624	P0A7L0
P69924	P39452
P68919	P02413
P0ABA6	P0AB98
P0AEA8	P09127
P0AEJ4	P0AA16
P62399	P0A7R1
P0AEU3	P09551
P0AG44	P0A7R1
P0AFF0	P0AFD6
P0A7L8	P0A7J7
P0A7V0	P0A7X3
P31802	P27896
P0A7V0	P0A7W1
P11349	P11350
P0ABI8	P0ABJ1
P0AG48	P0AA10
P0ADY7	P60438
P17334	P69795
P0A7V0	P0A7R5
P0A7N4	P0AA10
P60624	P60422
P0A7L3	P0A7M9
P0C018	P0A7M9
P0A7L3	P0A7M2
P0A7N4	P60438
P0A7N4	P0AG48
P0A7K6	P02413
P60624	P0A7N9
P68679	P0A7W1
P0ADY3	P0A7L0
P0AC44	P07014
P0ADZ4	P0AG63
P0AG55	P60723
P0A7X3	P02358
P0C018	P0A7M6
P0A7N4	P0A7L8
P16432	P16431
P0A7T3	P0A7W7
P20966	P08839
P33593	P33594
P0A7V0	P0A7U3
P08839	P08722
P0ABA0	P0AB98
P0AA10	P60438
P0AG48	P61175
P0ADZ0	P0A7M2
P60624	P0A7M2
P0AG63	P02359
P0A7L8	P61175
P0AFK9	P0AFK4
P0A6T9	P27248
P60624	P0A7P5
P07012	P0A7K2
P19925	P11454
Q46811	P64557
P0AG51	P0ADY3
P0A805	P62399
P33607	P0AFD4
P0A6Y8	P0A6F5
P37387	P37388
P0A8Z3	P0A6A8
P0AG55	P0ADY7
P0A7L3	P0A7R1
P0A9Q5	P0ABD8
P33599	P0AFC7
P0A7V3	P0A7T7
P06971	P07821
P77580	P0A9Q7
P0A7K6	P0A7M2
P15030	P13036
P0A7L3	P0A7Q1
P60438	P0A7R1
P0AFF0	P33599
P24255	P0AFX4
P0A7N4	P0AG55
P31697	P08190
P0ABA4	P0ABA0
P31554	P0AEG4
P0A7X3	P0A7V3
P23877	P23876
P22731	P0AEX7
P0A7M6	P0A7N9
P0AGD7	P0ADY3
P0ABY7	P0A8S9
P02929	P0ABU7
P0ADZ4	P0A7R9
P0A6Y8	P05055
P19318	P19319
P61175	P0ADZ0
P0AG51	P0ADZ0
P60723	P0A7L0
P0A7W1	P0A7V3
P77211	P77239
P06710	P28630
P16432	P16429
P68183	P02916
P0AG51	P0A7R1
P0ABB4	P0ABA6
P0AEG1	P23847
P02413	P0A7J7
P0A7K6	P0AG55
P0A7L8	P0A7K2
P0A7K6	P60723
P0AG48	P0A7J7
P15029	P15030
P0AG48	P0ADY7
P0AG44	P02413
P0A7M6	P60438
P75851	P75853
P0A7U7	P0A7T7
P37329	P0AF01
P0C077	P0C079
P0ABF1	P21507
P0A7N4	P0A7M2
P04995	P0AGE0
P0AG44	P0A7J7
P0A9P0	P0AFG6
P0A7Q6	P02413
P23482	P0AEW1
P31979	P0AFD1
P60723	P0A7K2
P0AA10	P0AG51
P0A6Z1	P0AAC8
P0A7S9	P0A7S3
P0ADY7	P0A7P5
P0A6H5	P0A7B8
P0A7Q6	P61175
P05825	P23877
P0AG51	P0A7M2
P0A7Q6	P0C018
P0AB24	P0AEG4
P08839	P36672
P0A7U3	P0A7S3
P20966	P69811
P62399	P60624
P68919	P0A7P5
P16676	P0AG78
P69811	P08839
P23845	P21156
P56579	P56580
P24255	P0A8V2
P16701	P16700
P0A7F3	P0A786
P06710	P28905
P02413	P0A7L0
P77689	P77522
P0A7Z4	P0A800
P33607	P0AFC3
P0AGH5	Q47622
P0AFD4	P33599
P54745	P0AA04
P0A8F8	P0A698
P0A7W1	P0A7W7
P77858	P77416
P31224	P0AE06
P69425	P69423
P28630	P28631
P76078	P76081
P07822	P0ABV2
P0A7L3	P0A7Q6
P0C018	P60438
P77211	P38054
P0C018	P0A7N9
P0AF28	P0AFA2
P0AE30	P0AAF6
P68679	P0A7V3
P0AFH2	P77348
P0AG55	P0A6M8
P60422	P0A7R1
P0A7J7	P0A7R1
P68919	P0AG55
P24180	P24181
P0A7T3	P0A7S3
P0A7L3	P0ADZ0
P62399	P0ADY7
P0ACE3	P0ACF8
P0A7R9	P0A7S3
P75796	P75798
P0AG51	P60438
P0A7L8	P02413
P0C0V0	P0AEE3
P0AG44	P60723
P23847	P0AEG4
P0A7I0	P0ACC1
P60595	P60664
P0ADZ4	P0A7V3
P0ABB0	P68699
P0A7X3	P0A7R9
P0ABV2	P15029
P33913	P33916
P0A7K6	P0A7J7
